Title,Link,Description
"골프장 탈의실서 수백만 원 든 지갑 훔친 경찰관, 검찰 송치",https://n.news.naver.com/mnews/article/022/0003778924?sid=102,전남 나주경찰서는 절도 혐의로 불구속 입건한 광주 서부경찰서 소속 A 경사를 31일 검찰에 송치했다고 밝혔다. 사진=뉴스1 A 경사는 지난달 13일 낮 12시 30분쯤 나주 한 골프장 탈의실에서 현금 수백만원과 신분증이 든... 
"골프장 탈의실서 지갑 훔친 경찰관, 검찰 송치",https://n.news.naver.com/mnews/article/001/0013728729?sid=102,전남 나주경찰서는 절도 혐의로 불구속 입건한 광주 서부경찰서 소속 A 경사를 31일 검찰에 송치했다. A 경사는 지난달 13일 낮 12시 30분께 나주 한 골프장 탈의실에서 현금 수백만원과 신분증이 든 지급을 훔친 혐의를... 
골프장 탈의실서 지갑 훔친 경찰관 송치,http://www.namdonews.com/news/articleView.html?idxno=712456,전남 나주경찰서는 31일 골프장 탈의실 사물함에서 이용객의 금품을 훔친 혐의(절도)로 광주 서부경찰서 모 지구대 A경사를 검찰에 불구속 송치했다. A경사는 지난달 13일 낮 12시 30분께 나주시 한 골프장 탈의실... 
목포시 상동 상가건물 불…인명피해 없어,http://www.namdonews.com/news/articleView.html?idxno=712455,전남 목포 상가 건물 내 가정집에서 불이 나 입주민들이 대피하는 소동이 빚어졌으나 인명피해는 없었다.... 경찰과 소방 당국은 주방에서 불이 시작됐다는 거주민 진술을 토대로 정확한 화재 경위와 피해 규모를... 
"무안군 일로농협 A 조합장, 보험사기 및 비위 의혹...수사 전방위 확대",https://www.psnews.co.kr/news/articleView.html?idxno=2019192,무안군 일로농협 전경 (사진=임병우 기자) 전남경찰청이 무안군 일로농협 A 조합장의 비리 의혹과 관련해 지난 30일 일로농협 본점에 대한 &apos;압수수색&apos;을 진행하면서 결과에 관심이 쏠리고 있다. 전남경찰청에 따르면... 
비번 훔쳐보고 골프장 탈의실서 지갑 훔친 경찰관 송치,https://n.news.naver.com/mnews/article/003/0011667353?sid=102,전남 나주경찰서는 31일 골프장 탈의실 사물함에서 이용객의 금품을 훔친 혐의(절도)로 광주 서부경찰서 모 지구대 A경사를 검찰에 불구속 송치했다. A경사는 지난달 13일 낮 12시 30분께 나주시 한 골프장 탈의실... 
한파경보 속 경찰이 빌라 앞 방치한 주취자 사망,http://www.naeil.com/news_view/?id_art=449682,전남 나주경찰서는 지난해 11월 골프장 탈의실 사물함에 보관 중인 이용객의 금품을 훔친 혐의(절도)로 광주 서부경찰서 한 지구대 소속 D경사를 입건했다. ◆직무 스트레스 해소 필요 = 계속되는 경찰과 연루된... 
목포시 상동 상가건물 불…인명피해 없어(종합),https://n.news.naver.com/mnews/article/003/0011667067?sid=102,전남 목포 상가 건물 내 가정집에서 불이 나 입주민들이 대피하는 소동이 빚어졌으나 인명피해는 없었다.... 경찰과 소방 당국은 주방에서 불이 시작됐다는 거주민 진술을 토대로 정확한 화재 경위와 피해 규모를... 
"전남자치경찰위, 어르신 교통사고 예방 활동 강화",https://www.gukjenews.com/news/articleView.html?idxno=2645150,@전남자치경찰위원회 전라남도자치경찰위원회는 30일 지난해 어르신 교통사고 사망자가 가장 많이 발생한 영암을 방문해 어르신 교통사고 예방을 위한 야광 지팡이 등 교통안전 용품을 전달했다. 이번 전달식은... 
광주·전남 전국조합장선거 한달 앞두고 벌써 과열 혼탁,https://n.news.naver.com/mnews/article/081/0003335846?sid=102,광주지검과 광주·전남경찰청은 지난 17일 3·8 조합장 선거사범 수사전담반을 구성하고 선거의 공정성을 침해하는 범죄에 대한 집중 단속에 나섰다. 광주선관위 관계자는 “오는 3·8 전국동시조합장선거가 공정선거로... 
